t,x
2.719,48.35025568000004
2.72,48.39000928000004
2.721,48.42978764400004
2.722,48.46959078000004
2.723,48.50941869600004
2.724,48.54927140000004
2.725,48.58914890000004
2.726,48.62905120400004
2.727,48.66897832000004
2.728,48.708930256000045
2.729,48.74890702000005
2.73,48.78890862000004
2.731,48.82893506400004
2.732,48.868986360000044
2.733,48.90906251600004
2.734,48.94916354000004
2.735,48.98928944000004
2.736,49.02944022400004
2.737,49.06961590000004
2.738,49.109816476000034
2.739,49.15004196000003
2.74,49.19029236000003
2.741,49.23056768400003
2.742,49.27086794000003
2.743,49.31119313600003
2.744,49.35154328000003
2.745,49.39191838000003
2.746,49.43231844400003
2.747,49.472743480000034
2.748,49.513193496000035
2.749,49.553668500000036
2.75,49.59416850000004
2.751,49.63469350400004
2.7520000000000002,49.67524352000004
2.753,49.71581855600004
2.754,49.75641862000004
2.755,49.79704372000004
2.7560000000000002,49.83769386400004
2.757,49.87836906000004
2.758,49.91906931600004
2.759,49.95979464000004
2.7600000000000002,50.00054504000004
2.761,50.04132052400004
2.762,50.082121100000045
2.763,50.12294677600004
2.7640000000000002,50.16379756000004
2.765,50.204673460000045
2.766,50.245574484000045
2.767,50.28650064000004
2.7680000000000002,50.327451936000045
2.769,50.36842838000005
2.77,50.40942998000005
2.771,50.45045674400005
2.7720000000000002,50.49150868000005
2.773,50.53258579600005
2.774,50.57368810000005
2.775,50.61481560000005
2.7760000000000002,50.65596830400005
2.777,50.69714622000005
2.778,50.73834935600005
2.779,50.77957772000005
2.7800000000000002,50.820831320000046
2.781,50.86211016400004
2.782,50.90341426000004
2.783,50.94474361600004
2.7840000000000003,50.98609824000004
2.785,51.02747814000004
2.786,51.06888332400004
2.787,51.11031380000004
2.7880000000000003,51.15176957600004
2.789,51.19325066000004
2.79,51.23475706000004
2.791,51.276288784000045
2.7920000000000003,51.31784584000005
2.793,51.35942823600005
2.794,51.401035980000046
2.795,51.442669080000044
2.7960000000000003,51.484327544000045
2.797,51.52601138000004
2.798,51.56772059600004
2.799,51.60945520000004
2.8000000000000003,51.65121520000004
2.801,51.69300060400004
2.802,51.73481142000004
2.803,51.776647656000044
2.8040000000000003,51.81850932000005
2.805,51.86039642000004
2.806,51.90230896400004
2.807,51.944246960000044
2.8080000000000003,51.98621041600004
2.809,52.02819934000004
2.81,52.07021374000004
2.811,52.11225362400004
2.8120000000000003,52.15431900000004
2.813,52.19640987600004
2.814,52.23852626000004
2.815,52.28066816000004
2.816,52.32283558400004
2.817,52.36502854000004
2.818,52.40724703600004
2.819,52.44949108000004
2.82,52.491760680000034
2.821,52.53405584400004
2.822,52.57637658000004
2.823,52.61872289600004
2.824,52.661094800000036
2.825,52.703492300000036
2.826,52.74591540400004
2.827,52.78836412000004
2.828,52.83083845600004
2.829,52.87333842000004
2.83,52.915864020000036
2.831,52.95841526400004
2.832,53.00099216000004
2.833,53.04359471600004
2.834,53.086222940000034
2.835,53.12887684000003
2.836,53.17155642400003
2.837,53.21426170000003
2.838,53.25699267600003
2.839,53.29974936000003
2.84,53.34253176000003
2.841,53.385339884000025
2.842,53.42817374000003
2.843,53.471033336000026
2.844,53.513918680000025
2.845,53.55682978000002
2.846,53.59976664400002
2.847,53.64272928000002
2.848,53.68571769600002
2.849,53.72873190000002
2.85,53.77177190000002
2.851,53.81483770400002
2.852,53.85792932000002
2.853,53.90104675600002
2.854,53.94419002000002
2.855,53.98735912000002
2.856,54.03055406400002
2.857,54.07377486000002
2.858,54.11702151600002
2.859,54.160294040000025
2.86,54.20359244000002
2.861,54.24691672400002
2.862,54.29026690000002
2.863,54.33364297600002
2.864,54.37704496000002
2.865,54.42047286000002
2.866,54.463926684000015
2.867,54.50740644000002
2.868,54.550912136000015
2.869,54.59444378000001
2.87,54.63800138000001
2.871,54.681584944000015
2.872,54.72519448000001
2.873,54.768829996000015
2.874,54.812491500000014
2.875,54.85617900000001
2.876,54.899892504000015
2.8770000000000002,54.94363202000002
2.878,54.98739755600002
2.879,55.03118912000002
2.88,55.07500672000002
2.8810000000000002,55.11885036400002
2.882,55.16272006000002
2.883,55.20661581600002
2.884,55.25053764000002
2.8850000000000002,55.29448554000002
2.886,55.338459524000015
2.887,55.38245960000002
2.888,55.42648577600002
2.8890000000000002,55.470538060000024
2.89,55.51461646000002
2.891,55.55872098400002
2.892,55.60285164000002
2.8930000000000002,55.64700843600002
2.894,55.69119138000002
2.895,55.735400480000024
2.896,55.779635744000025
2.8970000000000002,55.823897180000024
2.898,55.86818479600002
2.899,55.91249860000002
2.9,55.95683860000002
2.9010000000000002,56.00120480400002
2.902,56.04559722000002
2.903,56.09001585600002
2.904,56.13446072000002
2.9050000000000002,56.178931820000024
2.906,56.223429164000024
2.907,56.26795276000002
2.908,56.312502616000025
2.9090000000000003,56.35707874000003
2.91,56.40168114000003
2.911,56.44630982400003
2.912,56.49096480000003
2.9130000000000003,56.53564607600003
2.914,56.58035366000003
2.915,56.625087560000026
2.916,56.66984778400003
2.9170000000000003,56.714634340000025
2.918,56.75944723600003
2.919,56.80428648000003
2.92,56.84915208000003
2.9210000000000003,56.89404404400003
2.922,56.938962380000035
2.923,56.98390709600004
2.924,57.02887820000004
2.9250000000000003,57.07387570000004
2.926,57.118899604000035
2.927,57.163949920000036
2.928,57.209026656000034
2.9290000000000003,57.25412982000003
2.93,57.299259420000034
2.931,57.344415464000036
2.932,57.38959796000004
2.9330000000000003,57.43480691600004
2.934,57.48004234000004
2.935,57.52530424000004
2.936,57.57059262400004
2.9370000000000003,57.61590750000004
2.938,57.661248876000045
2.939,57.706616760000045
2.94,57.752011160000045
2.9410000000000003,57.79743208400004
2.942,57.84287954000004
2.943,57.88835353600004
2.944,57.93385408000004
2.945,57.97938118000004
2.946,58.02493484400004
2.947,58.07051508000004
2.948,58.116121896000045
2.949,58.161755300000046
2.95,58.207415300000044
2.951,58.25310190400004
2.952,58.29881512000004
2.953,58.344554956000046
2.954,58.39032142000005
2.955,58.43611452000005
2.956,58.481934264000046
2.957,58.52778066000005
2.958,58.573653716000045
